,SAP,iteration,questions_rank,similarity_avg_changes,time,Anon Student Id,unit
0,0.830357142857,0,"{'Difficulty': {0: -3.0, 1: 2.0, 2: -1.0, 3: -3.0, 4: 0.0, 5: 1.0, 6: 3.0, 7: 1.0}, 'Step Name': {0: 'R4C2', 1: 'XLabel', 2: 'R6C1', 3: 'R4C1', 4: 'ValidEquations', 5: 'yScale', 6: 'R7C1', 7: 'R6C3'}}",0.0,0.006,qL6HDg57R9,Unit CTA1_15
1,0.880952380952,1,"{'Difficulty': {0: 1.0, 1: 0.0, 2: -4.0, 3: 0.0, 4: 1.0, 5: 2.0, 6: 0.0}, 'Step Name': {0: 'XLabel', 1: 'R6C1', 2: 'R4C1', 3: 'ValidEquations', 4: 'yScale', 5: 'R7C1', 6: 'R6C3'}}",0.35,0.005,qL6HDg57R9,Unit CTA1_15
2,0.866666666667,2,"{'Difficulty': {0: 0.0, 1: 0.0, 2: -1.0, 3: 0.0, 4: 1.0, 5: 0.0}, 'Step Name': {0: 'XLabel', 1: 'R6C1', 2: 'ValidEquations', 3: 'yScale', 4: 'R7C1', 5: 'R6C3'}}",0.130555555556,0.004,qL6HDg57R9,Unit CTA1_15
3,0.84,3,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}, 'Step Name': {0: 'XLabel', 1: 'R6C1', 2: 'yScale', 3: 'R7C1', 4: 'R6C3'}}",0.239583333333,0.002,qL6HDg57R9,Unit CTA1_15
4,1.0,4,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}, 'Step Name': {0: 'R6C1', 1: 'yScale', 2: 'R7C1', 3: 'R6C3'}}",0.143854166667,0.002,qL6HDg57R9,Unit CTA1_15
5,1.0,5,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0}, 'Step Name': {0: 'yScale', 1: 'R7C1', 2: 'R6C3'}}",1.49521670931,0.001,qL6HDg57R9,Unit CTA1_15
6,1.0,6,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'R7C1', 1: 'R6C3'}}",0.415928929311,0.0,qL6HDg57R9,Unit CTA1_15
7,1.0,7,"{'Difficulty': {0: 0}, 'Step Name': {0: 'R6C3'}}",0.634739465943,0.0,qL6HDg57R9,Unit CTA1_15
8,0.90625,full,"{'Difficulty': {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7}, 'Step Name': {0: 'R4C2', 1: 'R4C1', 2: 'ValidEquations', 3: 'XLabel', 4: 'R6C1', 5: 'yScale', 6: 'R7C1', 7: 'R6C3'}}",,0.028,qL6HDg57R9,Unit CTA1_15
0,0.885714285714,0,"{'Difficulty': {0: 0.0, 1: 0.0, 2: -1.0, 3: -3.0, 4: 2.0, 5: 2.0, 6: 0.0}, 'Step Name': {0: 'R4C2', 1: 'xScale', 2: 'R4C1', 3: 'R3C2', 4: 'R3C1', 5: 'yScale', 6: '300D = 17385'}}",0.0,0.002,4X3016rdOZ,Unit CTA1_15
1,0.833333333333,1,"{'Difficulty': {0: 0.0, 1: 0.0, 2: -2.0, 3: 1.0, 4: 1.0, 5: 0.0}, 'Step Name': {0: 'R4C2', 1: 'xScale', 2: 'R4C1', 3: 'R3C1', 4: 'yScale', 5: '300D = 17385'}}",0.0616161616162,0.001,4X3016rdOZ,Unit CTA1_15
2,0.76,2,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}, 'Step Name': {0: 'R4C2', 1: 'xScale', 2: 'R3C1', 3: 'yScale', 4: '300D = 17385'}}",0.788605098605,0.001,4X3016rdOZ,Unit CTA1_15
3,0.8125,3,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}, 'Step Name': {0: 'xScale', 1: 'R3C1', 2: 'yScale', 3: '300D = 17385'}}",0.0,0.001,4X3016rdOZ,Unit CTA1_15
4,0.777777777778,4,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0}, 'Step Name': {0: 'R3C1', 1: 'yScale', 2: '300D = 17385'}}",0.0,0.0,4X3016rdOZ,Unit CTA1_15
5,0.75,5,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'yScale', 1: '300D = 17385'}}",0.527081449415,0.0,4X3016rdOZ,Unit CTA1_15
6,1.0,6,"{'Difficulty': {0: 0}, 'Step Name': {0: '300D = 17385'}}",0.0658436213992,0.0,4X3016rdOZ,Unit CTA1_15
7,0.87074829932,full,"{'Difficulty': {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6}, 'Step Name': {0: 'R3C2', 1: 'R4C1', 2: 'R4C2', 3: 'xScale', 4: 'R3C1', 5: 'yScale', 6: '300D = 17385'}}",,0.008,4X3016rdOZ,Unit CTA1_15
0,1.0,0,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0}, 'Step Name': {0: 'R2C3', 1: 'yMax', 2: 'R7C1'}}",0.0,0.001,5SXHhHKGxC,Unit QUAD-ADD-AREA-ALG1
1,1.0,1,"{'Difficulty': {0: 0.0, 1: 0.0}, 'Step Name': {0: 'yMax', 1: 'R7C1'}}",0.0,0.0,5SXHhHKGxC,Unit QUAD-ADD-AREA-ALG1
2,1.0,2,"{'Difficulty': {0: 0}, 'Step Name': {0: 'R7C1'}}",0.0,0.0,5SXHhHKGxC,Unit QUAD-ADD-AREA-ALG1
3,1.0,full,"{'Difficulty': {0: 0, 1: 1, 2: 2}, 'Step Name': {0: 'R2C3', 1: 'yMax', 2: 'R7C1'}}",,0.002,5SXHhHKGxC,Unit QUAD-ADD-AREA-ALG1
0,0.861111111111,0,"{'Difficulty': {0: 0.0, 1: -2.0, 2: -6.0, 3: 4.0, 4: 5.0, 5: 4.0, 6: 1.0, 7: -6.0, 8: 0.0}, 'Step Name': {0: 'R5C2', 1: 'xMax', 2: 'R5C1', 3: 'R1C1', 4: 'yScale', 5: 'R1C3', 6: 'R4C3', 7: 'R3C2', 8: 'R2C2'}}",0.0,0.009,i8f2gg51r5,Unit QUAD-ADD-AREA-ALG1
1,0.910714285714,1,"{'Difficulty': {0: -1.0, 1: -2.0, 2: 3.0, 3: 4.0, 4: 3.0, 5: 1.0, 6: -7.0, 7: -1.0}, 'Step Name': {0: 'R5C2', 1: 'xMax', 2: 'R1C1', 3: 'yScale', 4: 'R1C3', 5: 'R4C3', 6: 'R3C2', 7: 'R2C2'}}",0.0,0.007,i8f2gg51r5,Unit QUAD-ADD-AREA-ALG1
2,0.880952380952,2,"{'Difficulty': {0: -2.0, 1: -3.0, 2: 2.0, 3: 3.0, 4: 2.0, 5: 0.0, 6: -2.0}, 'Step Name': {0: 'R5C2', 1: 'xMax', 2: 'R1C1', 3: 'yScale', 4: 'R1C3', 5: 'R4C3', 6: 'R2C2'}}",2.17444444444,0.004,i8f2gg51r5,Unit QUAD-ADD-AREA-ALG1
3,0.866666666667,3,"{'Difficulty': {0: -1.0, 1: 1.0, 2: 2.0, 3: 1.0, 4: 0.0, 5: -3.0}, 'Step Name': {0: 'R5C2', 1: 'R1C1', 2: 'yScale', 3: 'R1C3', 4: 'R4C3', 5: 'R2C2'}}",0.243333333333,0.003,i8f2gg51r5,Unit QUAD-ADD-AREA-ALG1
4,0.85,4,"{'Difficulty': {0: -1.0, 1: 0.0, 2: 1.0, 3: 0.0, 4: 0.0}, 'Step Name': {0: 'R5C2', 1: 'R1C1', 2: 'yScale', 3: 'R1C3', 4: 'R4C3'}}",0.351988888889,0.002,i8f2gg51r5,Unit QUAD-ADD-AREA-ALG1
5,0.8125,5,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}, 'Step Name': {0: 'R1C1', 1: 'yScale', 2: 'R1C3', 3: 'R4C3'}}",0.268158024691,0.001,i8f2gg51r5,Unit QUAD-ADD-AREA-ALG1
6,0.777777777778,6,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0}, 'Step Name': {0: 'yScale', 1: 'R1C3', 2: 'R4C3'}}",0.257362716049,0.001,i8f2gg51r5,Unit QUAD-ADD-AREA-ALG1
7,0.75,7,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'R1C3', 1: 'R4C3'}}",0.053421037037,0.0,i8f2gg51r5,Unit QUAD-ADD-AREA-ALG1
8,1.0,8,"{'Difficulty': {0: 0}, 'Step Name': {0: 'R4C3'}}",0.0131072,0.0,i8f2gg51r5,Unit QUAD-ADD-AREA-ALG1
9,0.861111111111,full,"{'Difficulty': {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}, 'Step Name': {0: 'R5C1', 1: 'R3C2', 2: 'xMax', 3: 'R2C2', 4: 'R5C2', 5: 'R1C1', 6: 'yScale', 7: 'R1C3', 8: 'R4C3'}}",,0.037,i8f2gg51r5,Unit QUAD-ADD-AREA-ALG1
0,0.911111111111,0,"{'Difficulty': {0: 3.0, 1: 2.0, 2: -6.0, 3: 0.0, 4: 0.0, 5: 3.0, 6: -1.0, 7: -4.0, 8: 3.0}, 'Step Name': {0: 'R2C2', 1: 'R7C2', 2: 'xMax', 3: 'R5C3', 4: 'Point 1.1', 5: 'R2C1', 6: 'yMax', 7: 'R5C1', 8: 'R7C1'}}",0.0,0.005,5ey2xUDZTA,Unit QUAD-ADD-AREA-ALG1
1,0.90625,1,"{'Difficulty': {0: 2.0, 1: 1.0, 2: 0.0, 3: 0.0, 4: 2.0, 5: -2.0, 6: -5.0, 7: 2.0}, 'Step Name': {0: 'R2C2', 1: 'R7C2', 2: 'R5C3', 3: 'Point 1.1', 4: 'R2C1', 5: 'yMax', 6: 'R5C1', 7: 'R7C1'}}",0.0,0.003,5ey2xUDZTA,Unit QUAD-ADD-AREA-ALG1
2,0.892857142857,2,"{'Difficulty': {0: 1.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 1.0, 5: -3.0, 6: 1.0}, 'Step Name': {0: 'R2C2', 1: 'R7C2', 2: 'R5C3', 3: 'Point 1.1', 4: 'R2C1', 5: 'yMax', 6: 'R7C1'}}",0.0,0.002,5ey2xUDZTA,Unit QUAD-ADD-AREA-ALG1
3,0.861111111111,3,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}, 'Step Name': {0: 'R2C2', 1: 'R7C2', 2: 'R5C3', 3: 'Point 1.1', 4: 'R2C1', 5: 'R7C1'}}",0.0,0.002,5ey2xUDZTA,Unit QUAD-ADD-AREA-ALG1
4,0.84,4,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}, 'Step Name': {0: 'R7C2', 1: 'R5C3', 2: 'Point 1.1', 3: 'R2C1', 4: 'R7C1'}}",0.0,0.001,5ey2xUDZTA,Unit QUAD-ADD-AREA-ALG1
5,0.8125,5,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}, 'Step Name': {0: 'R5C3', 1: 'Point 1.1', 2: 'R2C1', 3: 'R7C1'}}",0.0,0.001,5ey2xUDZTA,Unit QUAD-ADD-AREA-ALG1
6,1.0,6,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0}, 'Step Name': {0: 'Point 1.1', 1: 'R2C1', 2: 'R7C1'}}",0.0,0.001,5ey2xUDZTA,Unit QUAD-ADD-AREA-ALG1
7,1.0,7,"{'Difficulty': {0: 0.0, 1: 0.0}, 'Step Name': {0: 'R2C1', 1: 'R7C1'}}",0.0,0.0,5ey2xUDZTA,Unit QUAD-ADD-AREA-ALG1
8,1.0,8,"{'Difficulty': {0: 0}, 'Step Name': {0: 'R7C1'}}",0.0,0.0,5ey2xUDZTA,Unit QUAD-ADD-AREA-ALG1
9,0.907407407407,full,"{'Difficulty': {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}, 'Step Name': {0: 'xMax', 1: 'R5C1', 2: 'yMax', 3: 'R2C2', 4: 'R7C2', 5: 'R5C3', 6: 'Point 1.1', 7: 'R2C1', 8: 'R7C1'}}",,0.017,5ey2xUDZTA,Unit QUAD-ADD-AREA-ALG1
0,0.897115384615,0,"{'Difficulty': {0: 8.0, 1: -4.0, 2: 0.0, 3: 0.0, 4: -4.0, 5: 6.0, 6: -4.0, 7: 6.0, 8: -9.0, 9: -3.0, 10: -12.0, 11: 5.0, 12: 4.0, 13: 0.0, 14: 5.0, 15: 2.0}, 'Step Name': {0: 'R3C1', 1: 'R7C2', 2: 'xScale', 3: 'R6C1', 4: 'R7C1', 5: 'yScale', 6: 'yMax', 7: 'R1C1', 8: 'R5C1', 9: 'R2C2', 10: 'R3C2', 11: 'XLabel', 12: 'xMin', 13: 'xMax', 14: 'R2C1', 15: 'R1C3'}}",0.0,0.031,ajPRq0Q08b,Unit QUAD-ADD-AREA-ALG1
1,0.87962962963,1,"{'Difficulty': {0: 7.0, 1: -5.0, 2: 0.0, 3: -1.0, 4: -5.0, 5: 5.0, 6: -5.0, 7: 5.0, 8: -10.0, 9: -4.0, 10: 4.0, 11: 3.0, 12: 1.0, 13: 4.0, 14: 1.0}, 'Step Name': {0: 'R3C1', 1: 'R7C2', 2: 'xScale', 3: 'R6C1', 4: 'R7C1', 5: 'yScale', 6: 'yMax', 7: 'R1C1', 8: 'R5C1', 9: 'R2C2', 10: 'XLabel', 11: 'xMin', 12: 'xMax', 13: 'R2C1', 14: 'R1C3'}}",1.24403173306,0.025,ajPRq0Q08b,Unit QUAD-ADD-AREA-ALG1
2,0.872564935065,2,"{'Difficulty': {0: 6.0, 1: -4.0, 2: 0.0, 3: -2.0, 4: -3.0, 5: 4.0, 6: -7.0, 7: 4.0, 8: -5.0, 9: 3.0, 10: 2.0, 11: -2.0, 12: 3.0, 13: 1.0}, 'Step Name': {0: 'R3C1', 1: 'R7C2', 2: 'xScale', 3: 'R6C1', 4: 'R7C1', 5: 'yScale', 6: 'yMax', 7: 'R1C1', 8: 'R2C2', 9: 'XLabel', 10: 'xMin', 11: 'xMax', 12: 'R2C1', 13: 'R1C3'}}",1.32148013168,0.02,ajPRq0Q08b,Unit QUAD-ADD-AREA-ALG1
3,0.864835164835,3,"{'Difficulty': {0: 5.0, 1: -3.0, 2: 0.0, 3: -3.0, 4: -4.0, 5: 3.0, 6: 3.0, 7: -6.0, 8: 2.0, 9: 2.0, 10: -2.0, 11: 2.0, 12: 1.0}, 'Step Name': {0: 'R3C1', 1: 'R7C2', 2: 'xScale', 3: 'R6C1', 4: 'R7C1', 5: 'yScale', 6: 'R1C1', 7: 'R2C2', 8: 'XLabel', 9: 'xMin', 10: 'xMax', 11: 'R2C1', 12: 'R1C3'}}",0.713310906315,0.017,ajPRq0Q08b,Unit QUAD-ADD-AREA-ALG1
4,0.854797979798,4,"{'Difficulty': {0: 4.0, 1: -3.0, 2: 0.0, 3: -4.0, 4: -3.0, 5: 2.0, 6: 2.0, 7: 2.0, 8: 1.0, 9: -2.0, 10: 1.0, 11: 0.0}, 'Step Name': {0: 'R3C1', 1: 'R7C2', 2: 'xScale', 3: 'R6C1', 4: 'R7C1', 5: 'yScale', 6: 'R1C1', 7: 'XLabel', 8: 'xMin', 9: 'xMax', 10: 'R2C1', 11: 'R1C3'}}",0.7240168205,0.013,ajPRq0Q08b,Unit QUAD-ADD-AREA-ALG1
5,0.846464646465,5,"{'Difficulty': {0: 3.0, 1: -4.0, 2: 0.0, 3: -4.0, 4: 1.0, 5: 2.0, 6: 1.0, 7: 1.0, 8: -1.0, 9: 1.0, 10: 0.0}, 'Step Name': {0: 'R3C1', 1: 'R7C2', 2: 'xScale', 3: 'R7C1', 4: 'yScale', 5: 'R1C1', 6: 'XLabel', 7: 'xMin', 8: 'xMax', 9: 'R2C1', 10: 'R1C3'}}",0.655843029769,0.011,ajPRq0Q08b,Unit QUAD-ADD-AREA-ALG1
6,0.85,6,"{'Difficulty': {0: 2.0, 1: 0.0, 2: -5.0, 3: 0.0, 4: 1.0, 5: 0.0, 6: 1.0, 7: 0.0, 8: 1.0, 9: 0.0}, 'Step Name': {0: 'R3C1', 1: 'xScale', 2: 'R7C1', 3: 'yScale', 4: 'R1C1', 5: 'XLabel', 6: 'xMin', 7: 'xMax', 8: 'R2C1', 9: 'R1C3'}}",0.428301504512,0.01,ajPRq0Q08b,Unit QUAD-ADD-AREA-ALG1
7,0.819444444444,7,"{'Difficulty': {0: 1.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: -1.0, 7: 0.0, 8: 0.0}, 'Step Name': {0: 'R3C1', 1: 'xScale', 2: 'yScale', 3: 'R1C1', 4: 'XLabel', 5: 'xMin', 6: 'xMax', 7: 'R2C1', 8: 'R1C3'}}",0.467136163135,0.007,ajPRq0Q08b,Unit QUAD-ADD-AREA-ALG1
8,0.803571428571,8,"{'Difficulty': {0: 1.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: -1.0, 7: 0.0}, 'Step Name': {0: 'R3C1', 1: 'xScale', 2: 'yScale', 3: 'R1C1', 4: 'XLabel', 5: 'xMin', 6: 'R2C1', 7: 'R1C3'}}",1.75375522893,0.006,ajPRq0Q08b,Unit QUAD-ADD-AREA-ALG1
9,0.775510204082,9,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0}, 'Step Name': {0: 'R3C1', 1: 'xScale', 2: 'yScale', 3: 'R1C1', 4: 'XLabel', 5: 'xMin', 6: 'R1C3'}}",0.42136437641,0.004,ajPRq0Q08b,Unit QUAD-ADD-AREA-ALG1
10,0.75,10,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}, 'Step Name': {0: 'xScale', 1: 'yScale', 2: 'R1C1', 3: 'XLabel', 4: 'xMin', 5: 'R1C3'}}",0.721054191211,0.003,ajPRq0Q08b,Unit QUAD-ADD-AREA-ALG1
11,0.72,11,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}, 'Step Name': {0: 'yScale', 1: 'R1C1', 2: 'XLabel', 3: 'xMin', 4: 'R1C3'}}",0.42995588258,0.002,ajPRq0Q08b,Unit QUAD-ADD-AREA-ALG1
12,0.6875,12,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}, 'Step Name': {0: 'R1C1', 1: 'XLabel', 2: 'xMin', 3: 'R1C3'}}",0.391859367188,0.001,ajPRq0Q08b,Unit QUAD-ADD-AREA-ALG1
13,0.666666666667,13,"{'Difficulty': {0: 0, 1: 0, 2: 0}, 'Step Name': {0: 'XLabel', 1: 'xMin', 2: 'R1C3'}}",0.462250444611,0.0,ajPRq0Q08b,Unit QUAD-ADD-AREA-ALG1
14,0.75,14,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'xMin', 1: 'R1C3'}}",0.253113034089,0.0,ajPRq0Q08b,Unit QUAD-ADD-AREA-ALG1
15,1.0,15,"{'Difficulty': {0: 0}, 'Step Name': {0: 'R1C3'}}",0.798885511931,0.0,ajPRq0Q08b,Unit QUAD-ADD-AREA-ALG1
16,0.895647321429,full,"{'Difficulty': {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10, 11: 11, 12: 12, 13: 13, 14: 14, 15: 15}, 'Step Name': {0: 'R3C2', 1: 'R5C1', 2: 'yMax', 3: 'R2C2', 4: 'R6C1', 5: 'R7C2', 6: 'R7C1', 7: 'xMax', 8: 'R2C1', 9: 'R3C1', 10: 'xScale', 11: 'yScale', 12: 'R1C1', 13: 'XLabel', 14: 'xMin', 15: 'R1C3'}}",,0.18,ajPRq0Q08b,Unit QUAD-ADD-AREA-ALG1
0,0.954545454545,0,"{'Difficulty': {0: 4.0, 1: 5.0, 2: -10.0, 3: -3.0, 4: -2.0, 5: -8.0, 6: 0.0, 7: 3.0, 8: 2.0, 9: 5.0, 10: 4.0}, 'Step Name': {0: 'R1C1', 1: 'yScale', 2: 'R5C1', 3: 'R2C2', 4: 'yMax', 5: 'R3C2', 6: 'R6C1', 7: 'R8C2', 8: 'R5C2', 9: 'R3C1', 10: 'R2C1'}}",0.0,0.015,dvG32rxRzQ,Unit QUAD-ADD-AREA-ALG1
1,1.0,1,"{'Difficulty': {0: 3.0, 1: 4.0, 2: -4.0, 3: -3.0, 4: -9.0, 5: -1.0, 6: 2.0, 7: 1.0, 8: 4.0, 9: 3.0}, 'Step Name': {0: 'R1C1', 1: 'yScale', 2: 'R2C2', 3: 'yMax', 4: 'R3C2', 5: 'R6C1', 6: 'R8C2', 7: 'R5C2', 8: 'R3C1', 9: 'R2C1'}}",0.0,0.011,dvG32rxRzQ,Unit QUAD-ADD-AREA-ALG1
2,1.0,2,"{'Difficulty': {0: 2.0, 1: 3.0, 2: -5.0, 3: -4.0, 4: -2.0, 5: 1.0, 6: 0.0, 7: 3.0, 8: 2.0}, 'Step Name': {0: 'R1C1', 1: 'yScale', 2: 'R2C2', 3: 'yMax', 4: 'R6C1', 5: 'R8C2', 6: 'R5C2', 7: 'R3C1', 8: 'R2C1'}}",0.0,0.009,dvG32rxRzQ,Unit QUAD-ADD-AREA-ALG1
3,1.0,3,"{'Difficulty': {0: 1.0, 1: 2.0, 2: -4.0, 3: -2.0, 4: 0.0, 5: 0.0, 6: 2.0, 7: 1.0}, 'Step Name': {0: 'R1C1', 1: 'yScale', 2: 'yMax', 3: 'R6C1', 4: 'R8C2', 5: 'R5C2', 6: 'R3C1', 7: 'R2C1'}}",0.0,0.006,dvG32rxRzQ,Unit QUAD-ADD-AREA-ALG1
4,1.0,4,"{'Difficulty': {0: 0.0, 1: 1.0, 2: -2.0, 3: 0.0, 4: 0.0, 5: 1.0, 6: 0.0}, 'Step Name': {0: 'R1C1', 1: 'yScale', 2: 'R6C1', 3: 'R8C2', 4: 'R5C2', 5: 'R3C1', 6: 'R2C1'}}",1.6020021645,0.005,dvG32rxRzQ,Unit QUAD-ADD-AREA-ALG1
5,1.0,5,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}, 'Step Name': {0: 'R1C1', 1: 'yScale', 2: 'R8C2', 3: 'R5C2', 4: 'R3C1', 5: 'R2C1'}}",0.217104486423,0.003,dvG32rxRzQ,Unit QUAD-ADD-AREA-ALG1
6,1.0,6,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}, 'Step Name': {0: 'yScale', 1: 'R8C2', 2: 'R5C2', 3: 'R3C1', 4: 'R2C1'}}",0.022539444027,0.002,dvG32rxRzQ,Unit QUAD-ADD-AREA-ALG1
7,1.0,7,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}, 'Step Name': {0: 'R8C2', 1: 'R5C2', 2: 'R3C1', 3: 'R2C1'}}",0.0610549996585,0.001,dvG32rxRzQ,Unit QUAD-ADD-AREA-ALG1
8,1.0,8,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0}, 'Step Name': {0: 'R5C2', 1: 'R3C1', 2: 'R2C1'}}",0.0,0.001,dvG32rxRzQ,Unit QUAD-ADD-AREA-ALG1
9,1.0,9,"{'Difficulty': {0: 0.0, 1: 0.0}, 'Step Name': {0: 'R3C1', 1: 'R2C1'}}",0.03,0.0,dvG32rxRzQ,Unit QUAD-ADD-AREA-ALG1
10,1.0,10,"{'Difficulty': {0: 0}, 'Step Name': {0: 'R2C1'}}",0.134540678915,0.0,dvG32rxRzQ,Unit QUAD-ADD-AREA-ALG1
11,0.954545454545,full,"{'Difficulty': {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}, 'Step Name': {0: 'R5C1', 1: 'R3C2', 2: 'R2C2', 3: 'yMax', 4: 'R6C1', 5: 'R1C1', 6: 'yScale', 7: 'R8C2', 8: 'R5C2', 9: 'R3C1', 10: 'R2C1'}}",,0.069,dvG32rxRzQ,Unit QUAD-ADD-AREA-ALG1
0,0.914285714286,0,"{'Difficulty': {0: -3.0, 1: -2.0, 2: 0.0, 3: 0.0, 4: 2.0, 5: 4.0, 6: -1.0}, 'Step Name': {0: 'R3C2', 1: 'xMin', 2: 'R5C3', 3: 'R8C2', 4: 'R2C2', 5: 'R1C1', 6: 'R5C1'}}",0.0,0.005,6Ax4SKe470,Unit QUAD-ADD-AREA-ALG1
1,0.875,1,"{'Difficulty': {0: -2.0, 1: 0.0, 2: 0.0, 3: 1.0, 4: 3.0, 5: -2.0}, 'Step Name': {0: 'xMin', 1: 'R5C3', 2: 'R8C2', 3: 'R2C2', 4: 'R1C1', 5: 'R5C1'}}",2.11816072816,0.003,6Ax4SKe470,Unit QUAD-ADD-AREA-ALG1
2,0.85,2,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0, 3: 2.0, 4: -2.0}, 'Step Name': {0: 'R5C3', 1: 'R8C2', 2: 'R2C2', 3: 'R1C1', 4: 'R5C1'}}",0.0375,0.002,6Ax4SKe470,Unit QUAD-ADD-AREA-ALG1
3,0.833333333333,3,"{'Difficulty': {0: 0.0, 1: 0.0, 2: -1.0, 3: 1.0}, 'Step Name': {0: 'R5C3', 1: 'R8C2', 2: 'R2C2', 3: 'R1C1'}}",2.16493861628,0.001,6Ax4SKe470,Unit QUAD-ADD-AREA-ALG1
4,0.777777777778,4,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0}, 'Step Name': {0: 'R5C3', 1: 'R8C2', 2: 'R1C1'}}",1.60922203251,0.001,6Ax4SKe470,Unit QUAD-ADD-AREA-ALG1
5,1.0,5,"{'Difficulty': {0: 0.0, 1: 0.0}, 'Step Name': {0: 'R8C2', 1: 'R1C1'}}",0.166666666667,0.0,6Ax4SKe470,Unit QUAD-ADD-AREA-ALG1
6,1.0,6,"{'Difficulty': {0: 0}, 'Step Name': {0: 'R1C1'}}",0.10374465185,0.0,6Ax4SKe470,Unit QUAD-ADD-AREA-ALG1
7,0.914285714286,full,"{'Difficulty': {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6}, 'Step Name': {0: 'R3C2', 1: 'xMin', 2: 'R5C1', 3: 'R2C2', 4: 'R5C3', 5: 'R8C2', 6: 'R1C1'}}",,0.02,6Ax4SKe470,Unit QUAD-ADD-AREA-ALG1
0,0.888888888889,0,"{'Difficulty': {0: -3.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 0.0, 5: 1.0}, 'Step Name': {0: 'R5C1', 1: 'R3C1', 2: 'R1C1', 3: 'R1C2', 4: 'R3C3', 5: 'xScale'}}",0.0,0.002,X5eS5kvC8h,Unit QUAD-ADD-AREA-ALG1
1,0.84,1,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0}, 'Step Name': {0: 'R3C1', 1: 'R1C1', 2: 'R1C2', 3: 'R3C3', 4: 'xScale'}}",0.0,0.001,X5eS5kvC8h,Unit QUAD-ADD-AREA-ALG1
2,0.8125,2,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}, 'Step Name': {0: 'R1C1', 1: 'R1C2', 2: 'R3C3', 3: 'xScale'}}",0.0,0.001,X5eS5kvC8h,Unit QUAD-ADD-AREA-ALG1
3,0.777777777778,3,"{'Difficulty': {0: 0, 1: 0, 2: 0}, 'Step Name': {0: 'R1C2', 1: 'R3C3', 2: 'xScale'}}",0.0,0.0,X5eS5kvC8h,Unit QUAD-ADD-AREA-ALG1
